Ticker,Date,Open,High,Low,Close,Volume,Daily_Return,MA7,MA21,Price_Range
RELIANCE,2025-09-23,1391.0,1395.0,1376.8,1389.8,14014702,-0.0006,1403.03,1385.67,18.2
RELIANCE,2025-09-24,1385.3,1396.0,1380.4,1383.0,5922759,-0.0049,1400.7,1384.26,15.6
RELIANCE,2025-09-25,1381.3,1384.5,1369.0,1372.4,11411143,-0.0077,1396.0,1383.67,15.5
RELIANCE,2025-09-26,1372.0,1382.7,1366.0,1377.6,9879109,0.0038,1390.83,1383.27,16.7
RELIANCE,2025-09-29,1381.6,1389.0,1368.0,1372.8,14231999,-0.0035,1384.8,1384.01,21.0
RELIANCE,2025-09-30,1377.1,1377.1,1362.8,1364.0,14604684,-0.0064,1378.6,1384.5,14.3
RELIANCE,2025-10-01,1367.0,1378.6,1362.7,1368.7,12045916,0.0034,1375.47,1384.6,15.9
RELIANCE,2025-10-03,1363.2,1371.6,1356.9,1363.4,12842347,-0.0039,1371.7,1384.16,14.7
RELIANCE,2025-10-06,1360.0,1377.4,1359.0,1375.0,12396580,0.0085,1370.56,1384.91,18.4
RELIANCE,2025-10-07,1376.0,1395.9,1375.9,1384.8,11244040,0.0071,1372.33,1385.38,20.0
RELIANCE,2025-10-08,1384.8,1389.0,1364.5,1367.4,8525081,-0.0126,1370.87,1384.85,24.5
RELIANCE,2025-10-09,1374.0,1380.0,1369.1,1377.8,8826633,0.0076,1371.59,1384.92,10.9
RELIANCE,2025-10-10,1377.8,1388.0,1375.1,1381.7,6373084,0.0028,1374.11,1385.15,12.9
RELIANCE,2025-10-13,1376.9,1377.7,1367.8,1375.0,7600682,-0.0048,1375.01,1384.75,9.9
RELIANCE,2025-10-14,1380.0,1388.0,1370.1,1375.9,9768174,0.0007,1376.8,1383.84,17.9
RELIANCE,2025-10-15,1383.0,1384.0,1372.7,1374.3,10882743,-0.0012,1376.7,1382.65,11.3
RELIANCE,2025-10-16,1375.1,1400.5,1375.0,1398.3,12315932,0.0175,1378.63,1382.32,25.5
RELIANCE,2025-10-17,1401.0,1423.3,1399.1,1416.8,19335561,0.0132,1385.69,1382.46,24.2
RELIANCE,2025-10-20,1440.0,1473.8,1433.3,1466.8,24721978,0.0353,1398.4,1384.93,40.5
RELIANCE,2025-10-21,1468.0,1474.0,1460.0,1465.2,2066169,-0.0011,1410.33,1387.68,14.0
RELIANCE,2025-10-23,1475.0,1482.9,1444.6,1448.4,18707090,-0.0115,1420.81,1390.43,38.3
RELIANCE,2025-10-24,1450.0,1459.8,1441.0,1451.6,9700837,0.0022,1431.63,1393.38,18.8
RELIANCE,2025-10-27,1463.0,1485.0,1458.0,1484.1,14113867,0.0224,1447.31,1398.19,27.0
RELIANCE,2025-10-28,1484.1,1492.0,1477.6,1486.9,17631577,0.0019,1459.97,1403.64,14.4
RELIANCE,2025-10-29,1490.0,1508.3,1488.1,1504.2,11884745,0.0116,1472.46,1409.67,20.2
RELIANCE,2025-10-30,1500.0,1503.1,1484.0,1488.5,9318663,-0.0104,1475.56,1415.18,19.1
RELIANCE,2025-10-31,1490.4,1497.5,1482.3,1486.4,8758053,-0.0014,1478.59,1421.01,15.2
RELIANCE,2025-11-03,1486.0,1495.0,1479.3,1484.7,8452085,-0.0011,1483.77,1426.53,15.7
RELIANCE,2025-11-04,1483.9,1492.8,1470.1,1473.1,10007806,-0.0078,1486.84,1431.76,22.7
RELIANCE,2025-11-06,1484.0,1501.6,1476.2,1496.1,16772678,0.0156,1488.56,1437.52,25.4
RELIANCE,2025-11-07,1494.6,1498.4,1475.9,1478.0,7821765,-0.0121,1487.29,1441.96,22.5
RELIANCE,2025-11-10,1477.9,1501.0,1475.5,1489.3,7068438,0.0076,1485.16,1447.77,25.5
RELIANCE,2025-11-11,1497.0,1498.8,1480.2,1493.4,7127506,0.0028,1485.86,1453.27,18.6
RELIANCE,2025-11-12,1505.0,1524.7,1500.0,1511.5,12384459,0.0121,1489.44,1459.45,24.7
RELIANCE,2025-11-13,1515.0,1522.1,1506.8,1510.9,7196443,-0.0004,1493.19,1465.92,15.3
RELIANCE,2025-11-14,1505.5,1520.9,1505.5,1518.9,7682823,0.0053,1499.73,1472.73,15.4
